Date and Time, ,V2X Message Detail,Sender,Receiver,Message Type,Msg Id,Seq Num,Latitude - Sender,Longitude - Sender,Message Content,Latitude - Receiver,Longitude - Receiver,Simulation Time - Sender, ,Simulation Time - Receiver, 
2023-09-25 08:45:55,966 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 20,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.002,800
2023-09-25 08:45:55,967 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 21,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.102,800
2023-09-25 08:45:55,968 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 22,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.203,300
2023-09-25 08:45:55,969 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 23,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.303,800
2023-09-25 08:45:55,969 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 24,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.402,800
2023-09-25 08:45:55,970 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 25,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.504,300
2023-09-25 08:45:55,970 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 26,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.601,800
2023-09-25 08:45:55,971 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 27,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.702,800
2023-09-25 08:45:55,971 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 28,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.804,300
2023-09-25 08:45:55,971 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 29,  41.63253168184327,  -71.00553295378838, Road CLOSED, Latitude= 41.631233708380286, Longitude= -71.00240793214289, }, Latitude= 41.63253168184327,  (at simulation time 23.902,800
