2023-09-25 08:45:55,821 INFO  - Initialize application (at simulation time 0.000,000,000 s)
2023-09-25 08:45:55,823 INFO  - Activated Cellular Module (at simulation time 0.000,000,000 s)
2023-09-25 08:45:56,945 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3550,  41.62745774847701,  -71.01041110638083, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.001,400,000 s)
2023-09-25 08:45:56,945 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2230,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.001,400,000 s)
2023-09-25 08:45:56,945 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3551,  41.62745774847701,  -71.01041110638083, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.100,900,000 s)
2023-09-25 08:45:56,945 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2231,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.100,900,000 s)
2023-09-25 08:45:56,946 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3552,  41.62745774847701,  -71.01041110638083, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.200,900,000 s)
2023-09-25 08:45:56,946 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2232,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.200,900,000 s)
2023-09-25 08:45:56,946 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3553,  41.62745774847701,  -71.01041110638083, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.300,900,000 s)
2023-09-25 08:45:56,946 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2233,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.300,900,000 s)
2023-09-25 08:45:56,946 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3554,  41.62745774847701,  -71.01041110638083, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.400,400,000 s)
2023-09-25 08:45:56,946 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2234,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.400,400,000 s)
2023-09-25 08:45:56,946 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3555,  41.62745774847701,  -71.01041110638083, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 362.501,900,000 s)
