2023-09-25 08:46:25,121 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 23,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.300,000,000 s)
2023-09-25 08:46:25,121 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 24,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.400,000,000 s)
2023-09-25 08:46:25,121 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 25,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.500,000,000 s)
2023-09-25 08:46:25,121 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 26,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.600,000,000 s)
2023-09-25 08:46:25,122 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 27,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.700,000,000 s)
2023-09-25 08:46:25,122 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 28,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.800,000,000 s)
2023-09-25 08:46:25,122 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 29,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.900,000,000 s)
2023-09-25 08:46:25,127 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 30,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.000,000,000 s)
2023-09-25 08:46:25,127 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 31,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.100,000,000 s)
2023-09-25 08:46:25,127 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 32,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.200,000,000 s)
2023-09-25 08:46:25,127 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 33,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.300,000,000 s)
2023-09-25 08:46:25,128 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 34,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.400,000,000 s)
2023-09-25 08:46:25,128 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 35,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.500,000,000 s)
2023-09-25 08:46:25,128 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 36,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.600,000,000 s)
2023-09-25 08:46:25,128 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 37,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.700,000,000 s)
2023-09-25 08:46:25,129 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 38,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.800,000,000 s)
2023-09-25 08:46:25,129 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 39,  41.6306721855144,  -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.900,000,000 s)
