2023-09-25 08:46:46,820 INFO  - Initialize application (at simulation time 0.000,000,000 s)
2023-09-25 08:46:46,821 INFO  - Activated Cellular Module (at simulation time 0.000,000,000 s)
2023-09-25 08:46:47,545 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2251,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.101,400,000 s)
2023-09-25 08:46:47,545 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3562,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.202,400,000 s)
2023-09-25 08:46:47,545 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2252,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.202,400,000 s)
2023-09-25 08:46:47,545 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3563,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.302,400,000 s)
2023-09-25 08:46:47,545 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2253,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.302,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3564,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.400,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2254,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.400,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3565,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.502,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2255,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.502,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3566,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.601,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2256,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.601,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3567,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.702,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2257,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.702,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3568,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.801,900,000 s)
2023-09-25 08:46:47,546 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2258,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.801,900,000 s)
2023-09-25 08:46:47,546 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3569,  41.62750804407831,  -71.01044542836301, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.901,400,000 s)
2023-09-25 08:46:47,546 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2259,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 363.901,400,000 s)
2023-09-25 08:46:47,547 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3570,  41.62755782464993,  -71.01047795590078, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.002,400,000 s)
2023-09-25 08:46:47,547 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2260,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.002,400,000 s)
2023-09-25 08:46:47,547 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3571,  41.62755782464993,  -71.01047795590078, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.101,900,000 s)
2023-09-25 08:46:47,547 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2261,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.101,900,000 s)
2023-09-25 08:46:47,547 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3572,  41.62755782464993,  -71.01047795590078, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.201,900,000 s)
2023-09-25 08:46:47,547 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2262,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.201,900,000 s)
2023-09-25 08:46:47,547 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3573,  41.62755782464993,  -71.01047795590078, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.301,900,000 s)
2023-09-25 08:46:47,547 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2263,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.301,900,000 s)
2023-09-25 08:46:47,547 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3574,  41.62755782464993,  -71.01047795590078, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.401,400,000 s)
2023-09-25 08:46:47,547 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2264,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.401,400,000 s)
2023-09-25 08:46:47,547 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3575,  41.62755782464993,  -71.01047795590078, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.500,400,000 s)
2023-09-25 08:46:47,547 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2265,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.500,400,000 s)
2023-09-25 08:46:47,547 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3576,  41.62755782464993,  -71.01047795590078, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.600,400,000 s)
2023-09-25 08:46:47,548 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2266,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.600,400,000 s)
2023-09-25 08:46:47,548 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 3577,  41.62755782464993,  -71.01047795590078, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.702,400,000 s)
2023-09-25 08:46:47,548 INFO  - ,Broadcast V2X Message from ,rsu_2, InterVehicleMsg{,30, 2267,  41.63002320830884,  -71.01128391713155, Road CLOSED, }, Latitude= 41.63002320830884, Longitude= -71.01128391713155,  (at simulation time 364.702,400,000 s)
