Date and Time, ,V2X Message Detail,Sender,Receiver,Message Type,Msg Id,Seq Num,Latitude - Sender,Longitude - Sender,Message Content,Latitude - Receiver,Longitude - Receiver,Simulation Time - Sender, ,Simulation Time - Receiver, 
2023-09-25 08:46:54,713 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2310,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.002,300
2023-09-25 08:46:54,713 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2311,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.103,300
2023-09-25 08:46:54,713 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2312,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.202,300
2023-09-25 08:46:54,713 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2313,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.303,800
2023-09-25 08:46:54,713 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2314,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.402,300
2023-09-25 08:46:54,714 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2315,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.503,800
2023-09-25 08:46:54,714 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2316,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.603,800
2023-09-25 08:46:54,714 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2317,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.703,800
2023-09-25 08:46:54,714 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2318,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.802,300
2023-09-25 08:46:54,714 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2319,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62741668710193, Longitude= -71.01038308592948, }, Latitude= 41.63002320830884,  (at simulation time 370.902,300
2023-09-25 08:46:54,715 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2320,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.004,800
2023-09-25 08:46:54,715 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2321,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.104,300
2023-09-25 08:46:54,715 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2322,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.203,300
2023-09-25 08:46:54,715 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2323,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.304,300
2023-09-25 08:46:54,715 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2324,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.403,300
2023-09-25 08:46:54,715 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2325,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.503,800
2023-09-25 08:46:54,715 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2326,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.601,800
2023-09-25 08:46:54,715 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2327,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.702,800
2023-09-25 08:46:54,716 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2328,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.802,800
2023-09-25 08:46:54,716 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2329,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62747155495691, Longitude= -71.01042052798891, }, Latitude= 41.63002320830884,  (at simulation time 371.903,300
2023-09-25 08:46:54,716 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2330,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.004,300
2023-09-25 08:46:54,716 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2331,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.104,300
2023-09-25 08:46:54,717 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2332,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.202,300
2023-09-25 08:46:54,717 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2333,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.301,800
2023-09-25 08:46:54,717 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2334,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.401,800
2023-09-25 08:46:54,717 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2335,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.503,300
2023-09-25 08:46:54,717 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2336,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.603,300
2023-09-25 08:46:54,717 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2337,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.703,800
2023-09-25 08:46:54,717 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2338,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.802,800
2023-09-25 08:46:54,717 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2339,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62752738681128, Longitude= -71.01045862796214, }, Latitude= 41.63002320830884,  (at simulation time 372.901,300
2023-09-25 08:46:54,718 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2340,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62758161977608, Longitude= -71.0104925587875, }, Latitude= 41.63002320830884,  (at simulation time 373.003,300
2023-09-25 08:46:54,718 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2341,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62758161977608, Longitude= -71.0104925587875, }, Latitude= 41.63002320830884,  (at simulation time 373.102,300
2023-09-25 08:46:54,718 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2342,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62758161977608, Longitude= -71.0104925587875, }, Latitude= 41.63002320830884,  (at simulation time 373.202,300
2023-09-25 08:46:54,719 INFO  - ,Broadcast V2X Message from ,rsu_2,veh_5, InterVehicleMsg{,30, 2343,  41.63002320830884,  -71.01128391713155, Road CLOSED, Latitude= 41.62758161977608, Longitude= -71.0104925587875, }, Latitude= 41.63002320830884,  (at simulation time 373.304,300
