2023-05-03 21:46:06,723 INFO  - Initialize application (at simulation time 0.000,000,000 s)
2023-05-03 21:46:06,726 INFO  - Activated Cellular Module (at simulation time 0.000,000,000 s)
2023-05-03 21:46:07,897 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2022,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 277.201,900,000 s)
2023-05-03 21:46:07,897 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2703,  Latitude=41.62505428213098, Longitude= -71.00524825902961, Road CLOSED, } (at simulation time 277.301,400,000 s)
2023-05-03 21:46:07,897 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2023,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 277.301,400,000 s)
2023-05-03 21:46:07,897 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2704,  Latitude=41.62505428213098, Longitude= -71.00524825902961, Road CLOSED, } (at simulation time 277.402,400,000 s)
2023-05-03 21:46:07,897 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2024,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 277.402,400,000 s)
2023-05-03 21:46:07,897 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2705,  Latitude=41.62505428213098, Longitude= -71.00524825902961, Road CLOSED, } (at simulation time 277.501,900,000 s)
2023-05-03 21:46:07,897 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2025,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 277.501,900,000 s)
2023-05-03 21:46:07,897 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2706,  Latitude=41.62505428213098, Longitude= -71.00524825902961, Road CLOSED, } (at simulation time 277.600,400,000 s)
2023-05-03 21:46:07,898 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2026,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 277.600,400,000 s)
2023-05-03 21:46:07,898 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2707,  Latitude=41.62505428213098, Longitude= -71.00524825902961, Road CLOSED, } (at simulation time 277.700,400,000 s)
2023-05-03 21:46:07,898 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2027,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 277.700,400,000 s)
2023-05-03 21:46:07,898 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2708,  Latitude=41.62505428213098, Longitude= -71.00524825902961, Road CLOSED, } (at simulation time 277.800,400,000 s)
2023-05-03 21:46:07,898 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2028,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 277.800,400,000 s)
2023-05-03 21:46:07,898 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2709,  Latitude=41.62505428213098, Longitude= -71.00524825902961, Road CLOSED, } (at simulation time 277.901,400,000 s)
2023-05-03 21:46:07,898 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2029,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 277.901,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2710,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.001,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2030,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.001,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2711,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.100,900,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2031,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.100,900,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2712,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.201,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2032,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.201,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2713,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.300,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2033,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.300,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2714,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.401,900,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2034,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.401,900,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2715,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.501,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2035,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.501,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2716,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.601,900,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2036,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.601,900,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2717,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.701,900,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2037,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.701,900,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2718,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.800,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2038,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.800,400,000 s)
2023-05-03 21:46:07,899 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2719,  Latitude=41.62504049091421, Longitude= -71.00531817406639, Road CLOSED, } (at simulation time 278.900,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2039,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 278.900,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2720,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.001,900,000 s)
2023-05-03 21:46:07,900 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2040,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.001,900,000 s)
2023-05-03 21:46:07,900 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2721,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.100,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2041,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.100,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2722,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.200,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2042,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.200,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2723,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.302,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2043,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.302,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2724,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.400,900,000 s)
2023-05-03 21:46:07,900 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2044,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.400,900,000 s)
2023-05-03 21:46:07,900 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2725,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.502,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2045,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.502,400,000 s)
2023-05-03 21:46:07,900 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2726,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.600,900,000 s)
2023-05-03 21:46:07,901 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2046,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.600,900,000 s)
2023-05-03 21:46:07,901 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2727,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.701,900,000 s)
2023-05-03 21:46:07,901 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2047,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.701,900,000 s)
2023-05-03 21:46:07,901 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2728,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.802,400,000 s)
2023-05-03 21:46:07,901 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2048,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.802,400,000 s)
2023-05-03 21:46:07,901 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2729,  Latitude=41.62502411838616, Longitude= -71.00540117540767, Road CLOSED, } (at simulation time 279.902,400,000 s)
2023-05-03 21:46:07,901 INFO  - ,Broadcasting V2X Message ,rsu_1, InterVehicleMsg{,Msg Id=29, SeqNum=2049,  Latitude=41.625495625845225, Longitude= -71.00871956237185, Road CLOSED, } (at simulation time 279.902,400,000 s)
2023-05-03 21:46:07,901 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2730,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.000,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2731,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.100,400,000 s)
2023-05-03 21:46:07,902 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=2732,  Latitude=41.6250091971648, Longitude= -71.0054768189785, Road CLOSED, } (at simulation time 280.200,900,000 s)
