2023-09-25 08:46:10,938 INFO  - Initialize application VehicleCommunicationApp1 (at simulation time 17.000,000,000 s)
2023-09-25 08:46:10,939 INFO  - Activated Cellular Module (at simulation time 17.000,000,000 s)
2023-09-25 08:46:10,945 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 100,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.002,800,000 s)
2023-09-25 08:46:10,945 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 101,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.102,300,000 s)
2023-09-25 08:46:10,946 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 102,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.202,300,000 s)
2023-09-25 08:46:10,946 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 103,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.301,300,000 s)
2023-09-25 08:46:10,946 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 104,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.402,300,000 s)
2023-09-25 08:46:10,946 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 105,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.501,800,000 s)
2023-09-25 08:46:10,947 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 106,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.602,300,000 s)
2023-09-25 08:46:10,947 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 107,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.700,800,000 s)
2023-09-25 08:46:10,948 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 108,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.803,300,000 s)
2023-09-25 08:46:10,949 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 109,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.630606255891614, Longitude= -71.00203314286784,  (at simulation time 18.902,300,000 s)
2023-09-25 08:46:10,953 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 110,  41.62984225180874,  -71.00160289947058, Road CLOSED, }, Latitude= 41.63065120696907, Longitude= -71.00205315888164,  (at simulation time 19.002,300,000 s)
