2023-05-03 21:45:57,884 INFO  SnsAmbassador - Init simulation with startTime=0, endTime=600000000000
2023-05-03 21:45:57,902 INFO  SnsAmbassador - Initialized SNS
2023-05-03 21:45:59,086 INFO  SnsAmbassador - Added RSU id=rsu_0 position=GeoPoint{lat=41.632532,lon=-71.005533,alt=0.00} @time=0.000,000,000 s
2023-05-03 21:45:59,086 INFO  SnsAmbassador - Added RSU id=rsu_1 position=GeoPoint{lat=41.624905,lon=-71.005030,alt=0.00} @time=0.000,000,000 s
2023-05-03 21:45:59,086 INFO  SnsAmbassador - Added RSU id=rsu_2 position=GeoPoint{lat=41.630023,lon=-71.011284,alt=0.00} @time=0.000,000,000 s
2023-05-03 21:45:59,094 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_0 @time=0.000,000,000 s
2023-05-03 21:45:59,094 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_1 @time=0.000,000,000 s
2023-05-03 21:45:59,094 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_2 @time=0.000,000,000 s
2023-05-03 21:45:59,105 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_0 @time=6.000,000,000 s
2023-05-03 21:45:59,107 INFO  SnsAmbassador - Added Vehicle id=veh_0 position=GeoPoint{lat=41.630620,lon=-71.002039,alt=0.00} @time=7.000,000,000 s
2023-05-03 21:45:59,112 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_1 @time=7.000,000,000 s
2023-05-03 21:45:59,112 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,113 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,113 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,113 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,114 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,114 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,114 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,114 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,114 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,114 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-05-03 21:45:59,116 INFO  SnsAmbassador - Added Vehicle id=veh_1 position=GeoPoint{lat=41.630583,lon=-71.002023,alt=0.00} @time=8.000,000,000 s
2023-05-03 21:45:59,124 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_2 @time=9.000,000,000 s
2023-05-03 21:45:59,129 INFO  SnsAmbassador - Added Vehicle id=veh_2 position=GeoPoint{lat=41.630564,lon=-71.002014,alt=0.00} @time=10.000,000,000 s
2023-05-03 21:45:59,148 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_3 @time=13.000,000,000 s
2023-05-03 21:45:59,151 INFO  SnsAmbassador - Added Vehicle id=veh_3 position=GeoPoint{lat=41.630603,lon=-71.002032,alt=0.00} @time=14.000,000,000 s
