2023-09-25 08:47:01,056 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=15,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.500,000,000 s)
2023-09-25 08:47:01,056 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=5,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.503,800,000 s)
2023-09-25 08:47:01,056 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=16,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.600,000,000 s)
2023-09-25 08:47:01,057 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=6,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.602,800,000 s)
2023-09-25 08:47:01,057 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=17,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.700,000,000 s)
2023-09-25 08:47:01,057 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=7,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.701,800,000 s)
2023-09-25 08:47:01,057 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=18,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.800,000,000 s)
2023-09-25 08:47:01,058 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=8,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.803,300,000 s)
2023-09-25 08:47:01,058 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=19,  Latitude=41.630583032577256, Longitude= -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.900,000,000 s)
2023-09-25 08:47:01,059 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=9,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.902,300,000 s)
2023-09-25 08:47:01,061 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=20,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.000,000,000 s)
2023-09-25 08:47:01,062 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=10,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.003,300,000 s)
2023-09-25 08:47:01,062 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=21,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.100,000,000 s)
2023-09-25 08:47:01,063 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=11,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.101,300,000 s)
2023-09-25 08:47:01,063 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=22,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.200,000,000 s)
2023-09-25 08:47:01,063 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=12,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.203,800,000 s)
