2023-09-25 08:46:38,138 INFO  SnsAmbassador - Init simulation with startTime=0, endTime=600000000000
2023-09-25 08:46:38,158 INFO  SnsAmbassador - Initialized SNS
2023-09-25 08:46:39,376 INFO  SnsAmbassador - Added RSU id=rsu_0 position=GeoPoint{lat=41.629842,lon=-71.001603,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:39,377 INFO  SnsAmbassador - Added RSU id=rsu_1 position=GeoPoint{lat=41.625496,lon=-71.008720,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:39,377 INFO  SnsAmbassador - Added RSU id=rsu_2 position=GeoPoint{lat=41.632383,lon=-71.007709,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:39,388 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_0 @time=0.000,000,000 s
2023-09-25 08:46:39,388 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_1 @time=0.000,000,000 s
2023-09-25 08:46:39,388 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_2 @time=0.000,000,000 s
2023-09-25 08:46:39,401 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_0 @time=6.000,000,000 s
2023-09-25 08:46:39,402 INFO  SnsAmbassador - Added Vehicle id=veh_0 position=GeoPoint{lat=41.630620,lon=-71.002039,alt=0.00} @time=7.000,000,000 s
2023-09-25 08:46:39,406 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_1 @time=7.000,000,000 s
2023-09-25 08:46:39,406 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,407 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,407 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,407 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,407 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,408 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,408 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,408 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,408 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,408 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:39,410 INFO  SnsAmbassador - Added Vehicle id=veh_1 position=GeoPoint{lat=41.630583,lon=-71.002023,alt=0.00} @time=8.000,000,000 s
2023-09-25 08:46:39,423 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_2 @time=9.000,000,000 s
2023-09-25 08:46:39,432 INFO  SnsAmbassador - Added Vehicle id=veh_2 position=GeoPoint{lat=41.630564,lon=-71.002014,alt=0.00} @time=10.000,000,000 s
2023-09-25 08:46:39,454 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_3 @time=13.000,000,000 s
2023-09-25 08:46:39,460 INFO  SnsAmbassador - Added Vehicle id=veh_3 position=GeoPoint{lat=41.630603,lon=-71.002032,alt=0.00} @time=14.000,000,000 s
2023-09-25 08:46:39,471 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_4 @time=15.000,000,000 s
2023-09-25 08:46:39,478 INFO  SnsAmbassador - Added Vehicle id=veh_4 position=GeoPoint{lat=41.630604,lon=-71.002032,alt=0.00} @time=16.000,000,000 s
2023-09-25 08:46:39,486 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_5 @time=17.000,000,000 s
2023-09-25 08:46:39,490 INFO  SnsAmbassador - Added Vehicle id=veh_5 position=GeoPoint{lat=41.630606,lon=-71.002033,alt=0.00} @time=18.000,000,000 s
2023-09-25 08:46:39,497 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_6 @time=19.000,000,000 s
2023-09-25 08:46:39,501 INFO  SnsAmbassador - Added Vehicle id=veh_6 position=GeoPoint{lat=41.630593,lon=-71.002027,alt=0.00} @time=20.000,000,000 s
2023-09-25 08:46:39,508 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_7 @time=21.000,000,000 s
2023-09-25 08:46:39,514 INFO  SnsAmbassador - Added Vehicle id=veh_7 position=GeoPoint{lat=41.630591,lon=-71.002026,alt=0.00} @time=22.000,000,000 s
2023-09-25 08:46:39,520 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_8 @time=23.000,000,000 s
2023-09-25 08:46:39,523 INFO  SnsAmbassador - Added Vehicle id=veh_8 position=GeoPoint{lat=41.630581,lon=-71.002022,alt=0.00} @time=24.000,000,000 s
2023-09-25 08:46:39,531 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_9 @time=25.000,000,000 s
2023-09-25 08:46:39,535 INFO  SnsAmbassador - Added Vehicle id=veh_9 position=GeoPoint{lat=41.630564,lon=-71.002014,alt=0.00} @time=26.000,000,000 s
2023-09-25 08:46:40,608 INFO  SnsAmbassador - Removed Vehicle id=veh_0 @time=474.000,000,000 s
2023-09-25 08:46:40,613 INFO  SnsAmbassador - Removed Vehicle id=veh_1 @time=476.000,000,000 s
2023-09-25 08:46:40,615 INFO  SnsAmbassador - Removed Vehicle id=veh_2 @time=478.000,000,000 s
2023-09-25 08:46:40,616 INFO  SnsAmbassador - Removed Vehicle id=veh_3 @time=480.000,000,000 s
2023-09-25 08:46:40,617 INFO  SnsAmbassador - Removed Vehicle id=veh_4 @time=482.000,000,000 s
2023-09-25 08:46:40,618 INFO  SnsAmbassador - Removed Vehicle id=veh_5 @time=484.000,000,000 s
2023-09-25 08:46:40,619 INFO  SnsAmbassador - Removed Vehicle id=veh_6 @time=486.000,000,000 s
2023-09-25 08:46:40,619 INFO  SnsAmbassador - Removed Vehicle id=veh_7 @time=488.000,000,000 s
2023-09-25 08:46:40,621 INFO  SnsAmbassador - Removed Vehicle id=veh_8 @time=495.000,000,000 s
2023-09-25 08:46:40,621 INFO  SnsAmbassador - Removed Vehicle id=veh_9 @time=497.000,000,000 s
2023-09-25 08:46:40,698 INFO  SnsAmbassador - Finished simulation
