2023-09-25 08:46:25,206 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 43,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63133475092393, Longitude= -71.00249614909731,  (at simulation time 25.301,300,000 s)
2023-09-25 08:46:25,206 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 44,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63133475092393, Longitude= -71.00249614909731,  (at simulation time 25.400,800,000 s)
2023-09-25 08:46:25,207 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 45,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63133475092393, Longitude= -71.00249614909731,  (at simulation time 25.501,300,000 s)
2023-09-25 08:46:25,207 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 46,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63133475092393, Longitude= -71.00249614909731,  (at simulation time 25.603,300,000 s)
2023-09-25 08:46:25,207 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 47,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63133475092393, Longitude= -71.00249614909731,  (at simulation time 25.703,300,000 s)
2023-09-25 08:46:25,207 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 48,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63133475092393, Longitude= -71.00249614909731,  (at simulation time 25.802,800,000 s)
2023-09-25 08:46:25,208 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 49,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63133475092393, Longitude= -71.00249614909731,  (at simulation time 25.903,300,000 s)
2023-09-25 08:46:25,210 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 50,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63138286527428, Longitude= -71.00253943628282,  (at simulation time 26.004,300,000 s)
2023-09-25 08:46:25,210 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 51,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63138286527428, Longitude= -71.00253943628282,  (at simulation time 26.103,800,000 s)
2023-09-25 08:46:25,210 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 52,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63138286527428, Longitude= -71.00253943628282,  (at simulation time 26.201,300,000 s)
2023-09-25 08:46:25,211 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 53,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63138286527428, Longitude= -71.00253943628282,  (at simulation time 26.303,800,000 s)
2023-09-25 08:46:25,211 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 54,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63138286527428, Longitude= -71.00253943628282,  (at simulation time 26.403,300,000 s)
2023-09-25 08:46:25,211 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 55,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63138286527428, Longitude= -71.00253943628282,  (at simulation time 26.503,800,000 s)
2023-09-25 08:46:25,211 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 56,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63138286527428, Longitude= -71.00253943628282,  (at simulation time 26.603,800,000 s)
2023-09-25 08:46:25,212 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,28, 57,  41.63253168184327,  -71.00553295378838, Road CLOSED, }, Latitude= 41.63138286527428, Longitude= -71.00253943628282,  (at simulation time 26.704,800,000 s)
