2023-09-25 08:46:09,588 INFO  SnsAmbassador - Init simulation with startTime=0, endTime=600000000000
2023-09-25 08:46:09,617 INFO  SnsAmbassador - Initialized SNS
2023-09-25 08:46:10,813 INFO  SnsAmbassador - Added RSU id=rsu_0 position=GeoPoint{lat=41.629842,lon=-71.001603,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:10,813 INFO  SnsAmbassador - Added RSU id=rsu_1 position=GeoPoint{lat=41.625496,lon=-71.008720,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:10,813 INFO  SnsAmbassador - Added RSU id=rsu_2 position=GeoPoint{lat=41.632383,lon=-71.007709,alt=0.00} @time=0.000,000,000 s
2023-09-25 08:46:10,826 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_0 @time=0.000,000,000 s
2023-09-25 08:46:10,826 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_1 @time=0.000,000,000 s
2023-09-25 08:46:10,826 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=rsu_2 @time=0.000,000,000 s
2023-09-25 08:46:10,846 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_0 @time=6.000,000,000 s
2023-09-25 08:46:10,847 INFO  SnsAmbassador - Added Vehicle id=veh_0 position=GeoPoint{lat=41.630620,lon=-71.002039,alt=0.00} @time=7.000,000,000 s
2023-09-25 08:46:10,854 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_1 @time=7.000,000,000 s
2023-09-25 08:46:10,854 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,854 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,854 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,854 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,855 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,855 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,855 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,855 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,855 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,855 WARN  SnsAmbassador - Unit veh_1 is not known, skipping
2023-09-25 08:46:10,858 INFO  SnsAmbassador - Added Vehicle id=veh_1 position=GeoPoint{lat=41.630583,lon=-71.002023,alt=0.00} @time=8.000,000,000 s
2023-09-25 08:46:10,872 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_2 @time=9.000,000,000 s
2023-09-25 08:46:10,880 INFO  SnsAmbassador - Added Vehicle id=veh_2 position=GeoPoint{lat=41.630564,lon=-71.002014,alt=0.00} @time=10.000,000,000 s
2023-09-25 08:46:10,907 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_3 @time=13.000,000,000 s
2023-09-25 08:46:10,913 INFO  SnsAmbassador - Added Vehicle id=veh_3 position=GeoPoint{lat=41.630603,lon=-71.002032,alt=0.00} @time=14.000,000,000 s
2023-09-25 08:46:10,925 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_4 @time=15.000,000,000 s
2023-09-25 08:46:10,931 INFO  SnsAmbassador - Added Vehicle id=veh_4 position=GeoPoint{lat=41.630604,lon=-71.002032,alt=0.00} @time=16.000,000,000 s
2023-09-25 08:46:10,939 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_5 @time=17.000,000,000 s
2023-09-25 08:46:10,944 INFO  SnsAmbassador - Added Vehicle id=veh_5 position=GeoPoint{lat=41.630606,lon=-71.002033,alt=0.00} @time=18.000,000,000 s
2023-09-25 08:46:10,953 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_6 @time=19.000,000,000 s
2023-09-25 08:46:10,958 INFO  SnsAmbassador - Added Vehicle id=veh_6 position=GeoPoint{lat=41.630593,lon=-71.002027,alt=0.00} @time=20.000,000,000 s
2023-09-25 08:46:10,965 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_7 @time=21.000,000,000 s
2023-09-25 08:46:10,970 INFO  SnsAmbassador - Added Vehicle id=veh_7 position=GeoPoint{lat=41.630591,lon=-71.002026,alt=0.00} @time=22.000,000,000 s
2023-09-25 08:46:10,976 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_8 @time=23.000,000,000 s
2023-09-25 08:46:10,980 INFO  SnsAmbassador - Added Vehicle id=veh_8 position=GeoPoint{lat=41.630581,lon=-71.002022,alt=0.00} @time=24.000,000,000 s
2023-09-25 08:46:10,988 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_9 @time=25.000,000,000 s
2023-09-25 08:46:10,992 INFO  SnsAmbassador - Added Vehicle id=veh_9 position=GeoPoint{lat=41.630564,lon=-71.002014,alt=0.00} @time=26.000,000,000 s
2023-09-25 08:46:12,069 INFO  SnsAmbassador - Removed Vehicle id=veh_0 @time=474.000,000,000 s
2023-09-25 08:46:12,073 INFO  SnsAmbassador - Removed Vehicle id=veh_1 @time=476.000,000,000 s
2023-09-25 08:46:12,075 INFO  SnsAmbassador - Removed Vehicle id=veh_2 @time=478.000,000,000 s
2023-09-25 08:46:12,075 INFO  SnsAmbassador - Removed Vehicle id=veh_3 @time=480.000,000,000 s
2023-09-25 08:46:12,076 INFO  SnsAmbassador - Removed Vehicle id=veh_4 @time=482.000,000,000 s
2023-09-25 08:46:12,077 INFO  SnsAmbassador - Removed Vehicle id=veh_5 @time=484.000,000,000 s
2023-09-25 08:46:12,077 INFO  SnsAmbassador - Removed Vehicle id=veh_6 @time=486.000,000,000 s
2023-09-25 08:46:12,078 INFO  SnsAmbassador - Removed Vehicle id=veh_7 @time=488.000,000,000 s
2023-09-25 08:46:12,079 INFO  SnsAmbassador - Removed Vehicle id=veh_8 @time=495.000,000,000 s
2023-09-25 08:46:12,080 INFO  SnsAmbassador - Removed Vehicle id=veh_9 @time=497.000,000,000 s
2023-09-25 08:46:12,162 INFO  SnsAmbassador - Finished simulation
