2023-09-25 08:46:32,646 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 425,  41.63228907338528,  -71.00420471999772, Road CLOSED, } (at simulation time 49.502,400,000 s)
2023-09-25 08:46:32,646 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 345,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 49.502,400,000 s)
2023-09-25 08:46:32,646 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 426,  41.63228907338528,  -71.00420471999772, Road CLOSED, } (at simulation time 49.601,400,000 s)
2023-09-25 08:46:32,646 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 346,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 49.601,400,000 s)
2023-09-25 08:46:32,646 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 427,  41.63228907338528,  -71.00420471999772, Road CLOSED, } (at simulation time 49.700,400,000 s)
2023-09-25 08:46:32,646 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 347,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 49.700,400,000 s)
2023-09-25 08:46:32,646 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 428,  41.63228907338528,  -71.00420471999772, Road CLOSED, } (at simulation time 49.801,900,000 s)
2023-09-25 08:46:32,646 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 348,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 49.801,900,000 s)
2023-09-25 08:46:32,646 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 429,  41.63228907338528,  -71.00420471999772, Road CLOSED, } (at simulation time 49.901,400,000 s)
2023-09-25 08:46:32,646 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 349,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 49.901,400,000 s)
2023-09-25 08:46:32,648 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 430,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.001,900,000 s)
2023-09-25 08:46:32,648 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 350,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.001,900,000 s)
2023-09-25 08:46:32,648 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 431,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.100,900,000 s)
2023-09-25 08:46:32,648 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 351,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.100,900,000 s)
2023-09-25 08:46:32,648 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 432,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.200,400,000 s)
2023-09-25 08:46:32,648 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 352,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.200,400,000 s)
2023-09-25 08:46:32,648 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 433,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.301,400,000 s)
2023-09-25 08:46:32,648 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 353,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.301,400,000 s)
2023-09-25 08:46:32,648 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 434,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.401,400,000 s)
2023-09-25 08:46:32,648 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 354,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.401,400,000 s)
2023-09-25 08:46:32,648 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 435,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.500,400,000 s)
2023-09-25 08:46:32,648 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 355,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.500,400,000 s)
2023-09-25 08:46:32,649 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 436,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.601,400,000 s)
2023-09-25 08:46:32,649 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 356,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 50.601,400,000 s)
2023-09-25 08:46:32,649 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 437,  41.63230717136237,  -71.00428834961137, Road CLOSED, } (at simulation time 50.700,400,000 s)
