2023-05-03 21:45:51,886 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=26,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, } (at simulation time 9.600,000,000 s)
2023-05-03 21:45:51,886 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=27,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, } (at simulation time 9.700,000,000 s)
2023-05-03 21:45:51,886 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=28,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, } (at simulation time 9.800,000,000 s)
2023-05-03 21:45:51,886 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=29,  Latitude=41.63061937632063, Longitude= -71.00203898518708, Road CLOSED, } (at simulation time 9.900,000,000 s)
2023-05-03 21:45:51,890 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=30,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.000,000,000 s)
2023-05-03 21:45:51,891 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=31,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.100,000,000 s)
2023-05-03 21:45:51,891 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=32,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.200,000,000 s)
2023-05-03 21:45:51,891 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=33,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.300,000,000 s)
2023-05-03 21:45:51,891 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=34,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.400,000,000 s)
2023-05-03 21:45:51,892 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=35,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, } (at simulation time 10.500,000,000 s)
